CallID,CustomerID,AgentID,CallTimestamp,CallDurationSeconds,PairingModel,SaleMade,SaleValue
CALL10022,C2619,A1001,2025-04-17 09:19:08.832140,652,Standard Routing,False,0.0
CALL10023,C2946,A1038,2025-04-08 12:59:31.917125,1330,AI-Optimized,False,0.0
CALL10024,C2069,A1046,2025-09-23 12:29:45.361537,349,AI-Optimized,False,0.0
CALL10025,C2137,A1034,2025-07-20 00:03:22.921129,394,AI-Optimized,False,0.0
CALL10026,C2835,A1001,2025-02-22 17:44:20.232459,643,Standard Routing,False,0.0
CALL10027,C2309,A1015,2025-02-20 03:42:54.508325,528,AI-Optimized,True,325.98
CALL10028,C2984,A1044,2025-07-19 20:00:06.364376,1107,AI-Optimized,False,0.0
CALL10029,C2958,A1043,2025-04-10 15:39:26.760839,231,AI-Optimized,True,191.53
CALL10030,C2011,A1036,2025-08-19 10:44:15.309826,1032,Standard Routing,True,267.94
CALL10031,C2027,A1040,2025-10-09 10:37:40.735244,669,AI-Optimized,True,474.58
CALL10032,C2549,A1008,2025-01-30 01:11:59.871990,824,Standard Routing,False,0.0
CALL10033,C2314,A1043,2025-02-24 15:53:58.143607,1125,AI-Optimized,False,0.0
CALL10034,C2322,A1024,2025-03-12 02:32:28.487434,592,Standard Routing,False,0.0
CALL10035,C2788,A1030,2025-04-30 20:01:54.762248,713,AI-Optimized,False,0.0
CALL10036,C2823,A1014,2025-05-20 02:45:57.510978,217,AI-Optimized,False,0.0
CALL10037,C2406,A1031,2025-01-16 15:03:10.379841,367,Standard Routing,False,0.0
CALL10038,C2241,A1005,2025-04-14 07:51:29.806705,617,Standard Routing,False,0.0
CALL10039,C2237,A1041,2025-01-10 07:37:57.162812,247,AI-Optimized,False,0.0
CALL10040,C2046,A1025,2025-02-26 19:03:05.506739,611,Standard Routing,False,0.0
CALL10041,C2252,A1040,2025-02-15 02:54:18.467674,84,AI-Optimized,True,301.31
CALL10042,C2589,A1004,2025-01-28 08:41:48.919111,1099,Standard Routing,False,0.0
CALL10043,C2957,A1037,2025-03-23 14:32:54.184835,1012,AI-Optimized,False,0.0
CALL10044,C2988,A1007,2025-02-04 23:53:56.981576,1672,Standard Routing,False,0.0
CALL10045,C2392,A1011,2025-03-09 00:31:58.266213,77,Standard Routing,False,0.0
CALL10046,C2316,A1002,2025-07-05 16:44:19.078395,305,Standard Routing,False,0.0
CALL10047,C2592,A1021,2025-03-30 08:37:16.916405,1207,Standard Routing,False,0.0
CALL10048,C2287,A1003,2025-01-13 01:39:33.426998,243,Standard Routing,False,0.0
CALL10049,C2808,A1002,2025-07-07 07:22:46.469746,234,Standard Routing,False,0.0
CALL10050,C2865,A1031,2025-04-05 18:58:05.934625,1301,AI-Optimized,False,0.0
CALL10051,C2401,A1043,2025-02-04 03:51:19.444424,1140,AI-Optimized,True,443.05
CALL10052,C2054,A1009,2025-08-04 23:28:01.658374,1792,AI-Optimized,True,62.12
CALL10053,C2073,A1043,2025-08-14 23:05:31.075737,1330,AI-Optimized,False,0.0
CALL10054,C2657,A1026,2025-06-11 21:10:05.349504,990,Standard Routing,False,0.0
CALL10055,C2042,A1049,2025-09-06 02:41:07.175955,149,Standard Routing,False,0.0
CALL10056,C2490,A1030,2025-09-02 18:50:57.896820,1595,Standard Routing,False,0.0
CALL10057,C2991,A1016,2025-01-21 14:02:14.093493,575,Standard Routing,False,0.0
CALL10058,C2377,A1042,2025-06-13 02:07:30.944831,1173,AI-Optimized,True,264.99
CALL10059,C2108,A1049,2025-06-27 21:27:18.049723,1060,AI-Optimized,False,0.0
CALL10060,C2829,A1019,2025-07-30 04:58:50.473993,1584,Standard Routing,False,0.0
CALL10061,C2328,A1028,2025-02-11 15:57:55.363370,825,AI-Optimized,False,0.0
CALL10062,C2425,A1019,2025-10-09 12:41:09.885550,94,Standard Routing,False,0.0
CALL10063,C2373,A1036,2025-06-19 12:48:01.312163,87,AI-Optimized,False,0.0
CALL10064,C2540,A1020,2025-04-15 00:39:14.030081,653,Standard Routing,False,0.0
CALL10065,C2656,A1018,2025-04-05 13:03:09.371054,1189,AI-Optimized,True,434.01
CALL10066,C2333,A1022,2025-01-09 20:53:40.412045,207,AI-Optimized,False,0.0
CALL10067,C2145,A1007,2025-10-01 11:27:20.710861,1131,Standard Routing,False,0.0
CALL10068,C2054,A1039,2025-07-11 08:06:33.140536,1145,Standard Routing,False,0.0
CALL10069,C2848,A1044,2025-08-14 18:47:06.916494,1122,AI-Optimized,False,0.0
CALL10070,C2110,A1025,2025-02-15 15:51:57.982744,488,Standard Routing,True,85.92
CALL10071,C2119,A1003,2025-01-17 13:55:49.314718,658,AI-Optimized,False,0.0
CALL10072,C2614,A1000,2025-05-26 11:19:48.906668,1608,Standard Routing,False,0.0
CALL10073,C2630,A1044,2025-01-18 01:28:49.874824,1533,Standard Routing,False,0.0
CALL10074,C2525,A1002,2025-04-04 19:29:54.576676,1233,Standard Routing,False,0.0
CALL10075,C2103,A1002,2025-03-08 20:25:42.033796,329,AI-Optimized,False,0.0
CALL10076,C2481,A1042,2025-03-15 17:39:28.017745,523,Standard Routing,True,410.88
CALL10077,C2501,A1003,2025-02-12 11:57:04.442260,465,Standard Routing,False,0.0
CALL10078,C2975,A1033,2025-02-06 20:20:38.876046,376,AI-Optimized,False,0.0
CALL10079,C2682,A1038,2025-02-02 06:25:50.755308,121,Standard Routing,True,431.93
CALL10080,C2797,A1048,2025-02-13 23:45:43.618173,1021,AI-Optimized,True,201.57
CALL10081,C2505,A1027,2025-09-02 22:48:13.414160,1200,AI-Optimized,False,0.0
CALL10082,C2734,A1033,2025-05-12 15:47:34.247345,1604,Standard Routing,True,304.99
CALL10083,C2953,A1008,2025-01-12 01:50:06.616433,1606,AI-Optimized,False,0.0
CALL10084,C2972,A1041,2025-09-03 17:53:47.932379,1363,AI-Optimized,False,0.0
CALL10085,C2768,A1012,2025-06-08 05:39:59.410762,764,Standard Routing,False,0.0
CALL10086,C2203,A1007,2025-04-16 23:57:33.016515,1166,AI-Optimized,False,0.0
CALL10087,C2244,A1038,2025-04-10 04:47:51.797573,1339,AI-Optimized,False,0.0
CALL10088,C2936,A1027,2025-05-14 07:01:27.433271,127,AI-Optimized,False,0.0
CALL10089,C2777,A1045,2025-07-16 11:16:54.735034,1273,Standard Routing,False,0.0
CALL10090,C2976,A1034,2025-03-20 18:28:06.974225,1483,AI-Optimized,False,0.0
CALL10091,C2679,A1046,2025-08-12 19:11:28.688992,1747,AI-Optimized,True,203.0
CALL10092,C2738,A1020,2025-08-25 14:02:04.245206,547,AI-Optimized,False,0.0
CALL10093,C2907,A1008,2025-01-05 21:35:27.940744,1462,AI-Optimized,True,186.84
CALL10094,C2527,A1034,2025-03-14 15:39:23.566067,1309,AI-Optimized,False,0.0
CALL10095,C2777,A1037,2025-02-22 21:03:10.995889,362,Standard Routing,False,0.0
CALL10096,C2186,A1000,2025-03-30 07:16:48.335671,435,AI-Optimized,False,0.0
CALL10097,C2207,A1011,2025-07-10 19:24:19.077275,878,AI-Optimized,False,0.0
CALL10098,C2578,A1017,2025-07-31 06:49:54.946468,524,Standard Routing,False,0.0
CALL10099,C2434,A1028,2025-06-01 04:10:50.841412,1190,Standard Routing,False,0.0
CALL10100,C2538,A1032,2025-08-25 07:02:18.214184,1004,Standard Routing,False,0.0
CALL10101,C2161,A1018,2025-09-10 06:28:47.063874,242,Standard Routing,False,0.0
CALL10102,C2877,A1004,2025-03-15 20:34:20.298564,1327,AI-Optimized,False,0.0
CALL10103,C2015,A1048,2025-05-18 07:26:26.432703,1791,AI-Optimized,True,211.3
CALL10104,C2923,A1003,2025-02-09 13:30:49.640031,775,Standard Routing,False,0.0
CALL10105,C2698,A1019,2025-09-01 05:57:21.430732,1509,AI-Optimized,False,0.0
CALL10106,C2805,A1008,2025-03-30 21:34:53.733583,876,AI-Optimized,False,0.0
CALL10107,C2900,A1000,2025-06-19 05:14:29.559209,98,AI-Optimized,False,0.0
CALL10108,C2387,A1038,2025-08-05 22:03:55.125015,37,Standard Routing,False,0.0
CALL10109,C2722,A1005,2025-09-29 03:32:12.448868,1090,Standard Routing,False,0.0
CALL10110,C2152,A1021,2025-02-25 14:41:11.062310,1367,Standard Routing,False,0.0
CALL10111,C2862,A1016,2025-04-18 19:21:27.445480,104,AI-Optimized,False,0.0
CALL10112,C2084,A1004,2025-09-20 05:43:55.563068,408,AI-Optimized,False,0.0
CALL10113,C2152,A1007,2025-09-09 19:31:06.031630,1778,AI-Optimized,False,0.0
CALL10114,C2011,A1035,2025-04-21 11:51:09.376364,108,AI-Optimized,False,0.0
CALL10115,C2008,A1025,2025-03-24 07:59:06.561312,410,Standard Routing,False,0.0
CALL10116,C2003,A1049,2025-03-30 20:49:15.797268,660,AI-Optimized,False,0.0
CALL10117,C2549,A1041,2025-04-26 19:26:13.828702,1561,Standard Routing,False,0.0
CALL10118,C2641,A1045,2025-04-21 03:43:43.874970,1187,AI-Optimized,False,0.0
CALL10119,C2275,A1038,2025-07-04 02:49:51.062670,1745,Standard Routing,False,0.0
CALL10120,C2043,A1048,2025-07-17 17:01:53.447103,907,Standard Routing,False,0.0
CALL10121,C2032,A1001,2025-04-01 00:34:59.171996,1177,AI-Optimized,False,0.0
CALL10122,C2034,A1047,2025-09-28 00:49:54.804790,1250,Standard Routing,False,0.0
CALL10123,C2692,A1018,2025-08-06 20:14:29.546322,1051,AI-Optimized,False,0.0
CALL10124,C2140,A1011,2025-02-12 23:44:35.373773,253,AI-Optimized,True,342.41
CALL10125,C2118,A1011,2025-03-31 14:44:01.334578,1779,AI-Optimized,False,0.0
CALL10126,C2595,A1046,2025-05-09 11:22:18.059159,67,AI-Optimized,False,0.0
CALL10127,C2567,A1014,2025-01-11 01:42:41.552770,807,AI-Optimized,False,0.0
CALL10128,C2299,A1030,2025-02-08 06:30:44.468632,764,AI-Optimized,False,0.0
CALL10129,C2791,A1045,2025-03-19 19:50:26.158082,457,Standard Routing,False,0.0
CALL10130,C2137,A1037,2025-04-20 21:30:43.520202,1076,Standard Routing,False,0.0
CALL10131,C2122,A1044,2025-04-30 08:32:38.473260,1713,Standard Routing,False,0.0
CALL10132,C2325,A1012,2025-08-05 12:16:42.010074,434,AI-Optimized,False,0.0
CALL10133,C2732,A1030,2025-01-17 00:02:15.378375,414,Standard Routing,True,323.22
CALL10134,C2802,A1000,2025-10-02 01:44:56.942556,267,AI-Optimized,False,0.0
CALL10135,C2360,A1013,2025-07-26 22:17:41.026117,339,Standard Routing,False,0.0
CALL10136,C2647,A1012,2025-09-15 12:18:15.029481,1290,AI-Optimized,False,0.0
CALL10137,C2765,A1047,2025-07-25 04:31:50.751422,1461,AI-Optimized,False,0.0
CALL10138,C2744,A1033,2025-08-22 14:14:40.113817,733,Standard Routing,False,0.0
CALL10139,C2932,A1029,2025-10-03 18:07:27.903541,1423,AI-Optimized,False,0.0
CALL10140,C2656,A1015,2025-06-24 13:52:25.841660,295,Standard Routing,False,0.0
CALL10141,C2821,A1012,2025-08-11 12:32:30.284673,785,AI-Optimized,False,0.0
CALL10142,C2842,A1045,2025-09-22 02:02:49.659829,587,Standard Routing,False,0.0
CALL10143,C2050,A1033,2025-07-05 15:22:39.521370,704,AI-Optimized,False,0.0
CALL10144,C2693,A1031,2025-02-13 02:21:39.415387,442,AI-Optimized,False,0.0
CALL10145,C2369,A1008,2025-03-25 12:24:49.603823,1590,AI-Optimized,False,0.0
CALL10146,C2343,A1031,2025-05-06 14:44:15.884721,543,Standard Routing,False,0.0
CALL10147,C2322,A1007,2025-05-31 09:01:34.326452,1083,Standard Routing,False,0.0
CALL10148,C2234,A1025,2025-08-06 00:07:10.460565,1578,AI-Optimized,False,0.0
CALL10149,C2257,A1027,2025-04-04 10:03:46.484252,372,AI-Optimized,False,0.0
CALL10150,C2194,A1038,2025-06-25 11:21:11.533376,1634,Standard Routing,False,0.0
CALL10151,C2287,A1016,2025-03-09 07:47:46.306773,43,Standard Routing,False,0.0
CALL10152,C2054,A1002,2025-01-28 20:07:14.152219,288,AI-Optimized,False,0.0
CALL10153,C2786,A1043,2025-08-23 08:08:09.400076,220,Standard Routing,False,0.0
CALL10154,C2065,A1036,2025-10-06 06:13:39.156354,198,Standard Routing,False,0.0
CALL10155,C2558,A1002,2025-09-25 11:58:33.438119,735,Standard Routing,False,0.0
CALL10156,C2057,A1018,2025-03-26 12:58:48.872578,854,AI-Optimized,False,0.0
CALL10157,C2918,A1040,2025-07-02 11:31:04.426777,193,AI-Optimized,False,0.0
CALL10158,C2748,A1001,2025-01-03 09:21:29.621779,904,AI-Optimized,True,310.79
CALL10159,C2999,A1008,2025-03-10 07:41:15.791944,218,Standard Routing,False,0.0
CALL10160,C2900,A1017,2025-04-22 11:29:36.685118,514,AI-Optimized,False,0.0
CALL10161,C2964,A1048,2025-05-06 13:55:23.094709,1384,Standard Routing,False,0.0
CALL10162,C2613,A1006,2025-01-03 20:50:05.812700,685,AI-Optimized,False,0.0
CALL10163,C2177,A1043,2025-10-11 08:47:03.688133,718,Standard Routing,False,0.0
CALL10164,C2649,A1047,2025-08-16 15:39:19.107411,1767,Standard Routing,False,0.0
CALL10165,C2990,A1032,2025-09-07 08:36:43.842348,145,AI-Optimized,False,0.0
CALL10166,C2902,A1040,2025-03-08 02:49:31.282373,1005,Standard Routing,False,0.0
CALL10167,C2305,A1011,2025-06-22 00:44:06.367324,455,Standard Routing,False,0.0
CALL10168,C2640,A1014,2025-07-28 14:56:34.820261,259,AI-Optimized,False,0.0
CALL10169,C2357,A1025,2025-06-05 09:43:31.066477,37,Standard Routing,False,0.0
CALL10170,C2673,A1044,2025-04-26 15:58:09.263301,113,Standard Routing,False,0.0
CALL10171,C2360,A1030,2025-07-19 19:01:10.326039,1449,AI-Optimized,True,172.35
CALL10172,C2896,A1047,2025-04-27 11:32:24.791353,1350,Standard Routing,False,0.0
CALL10173,C2693,A1002,2025-07-19 01:23:03.901343,1438,AI-Optimized,False,0.0
CALL10174,C2716,A1038,2025-08-22 13:43:48.189813,553,Standard Routing,False,0.0
CALL10175,C2073,A1042,2025-01-24 15:07:52.009030,88,AI-Optimized,False,0.0
CALL10176,C2741,A1016,2025-05-16 16:35:00.782317,500,Standard Routing,False,0.0
CALL10177,C2762,A1038,2025-07-17 01:03:12.568177,1516,AI-Optimized,False,0.0
CALL10178,C2240,A1040,2025-08-21 13:40:06.073916,354,Standard Routing,False,0.0
CALL10179,C2402,A1002,2025-03-05 02:54:13.904638,826,Standard Routing,False,0.0
CALL10180,C2193,A1042,2025-02-25 19:02:20.172463,1526,Standard Routing,False,0.0
CALL10181,C2194,A1021,2025-02-23 21:17:57.320953,985,AI-Optimized,False,0.0
CALL10182,C2073,A1006,2025-06-09 18:29:03.978285,1403,Standard Routing,False,0.0
CALL10183,C2861,A1004,2025-05-24 12:22:23.232687,1776,AI-Optimized,False,0.0
CALL10184,C2700,A1046,2025-07-17 07:20:37.453018,114,Standard Routing,False,0.0
CALL10185,C2048,A1029,2025-06-17 21:29:38.319748,517,AI-Optimized,False,0.0
CALL10186,C2522,A1007,2025-09-28 15:44:44.145979,163,AI-Optimized,False,0.0
CALL10187,C2900,A1032,2025-03-20 07:14:11.471014,1391,AI-Optimized,False,0.0
CALL10188,C2525,A1032,2025-01-13 06:29:17.745887,420,Standard Routing,False,0.0
CALL10189,C2594,A1039,2025-08-21 02:11:32.650918,1050,AI-Optimized,True,168.66
CALL10190,C2912,A1009,2025-01-31 12:02:01.237159,1568,Standard Routing,False,0.0
CALL10191,C2016,A1045,2025-09-30 04:06:09.577992,350,AI-Optimized,True,262.58
CALL10192,C2835,A1025,2025-05-05 01:08:44.228549,338,AI-Optimized,False,0.0
CALL10193,C2749,A1045,2025-04-23 10:29:49.461729,204,Standard Routing,False,0.0
CALL10194,C2311,A1030,2025-01-08 22:52:58.693181,1158,Standard Routing,False,0.0
CALL10195,C2963,A1018,2025-07-24 05:46:39.163880,415,Standard Routing,False,0.0
CALL10196,C2195,A1020,2025-05-11 02:29:17.944582,1768,Standard Routing,False,0.0
CALL10197,C2453,A1038,2025-01-08 09:28:11.955517,1333,Standard Routing,False,0.0
CALL10198,C2196,A1007,2025-01-18 14:31:09.947703,1497,Standard Routing,False,0.0
CALL10199,C2920,A1023,2025-01-22 12:45:33.380800,1441,AI-Optimized,False,0.0
CALL10200,C2027,A1022,2025-06-03 17:49:01.069419,1458,AI-Optimized,True,222.45
CALL10201,C2687,A1037,2025-07-07 18:35:11.516893,1699,AI-Optimized,True,393.5
CALL10202,C2345,A1018,2025-07-11 16:35:26.539361,1726,Standard Routing,True,362.99
CALL10203,C2508,A1039,2025-04-04 22:18:40.813064,1107,Standard Routing,False,0.0
CALL10204,C2599,A1009,2025-10-10 20:13:23.853917,947,Standard Routing,True,219.77
CALL10205,C2646,A1014,2025-03-30 12:42:20.088184,1555,AI-Optimized,False,0.0
CALL10206,C2563,A1012,2025-06-03 09:39:31.693524,1569,AI-Optimized,False,0.0
CALL10207,C2120,A1043,2025-05-03 11:26:19.620895,190,Standard Routing,False,0.0
CALL10208,C2710,A1022,2025-02-13 03:32:27.605577,1500,Standard Routing,True,398.28
CALL10209,C2316,A1037,2025-03-26 21:58:22.915161,1659,Standard Routing,False,0.0
CALL10210,C2404,A1013,2025-05-03 03:49:49.104311,1343,Standard Routing,False,0.0
CALL10211,C2754,A1012,2025-05-01 19:32:50.261129,978,AI-Optimized,False,0.0
CALL10212,C2029,A1044,2025-08-23 15:54:42.989419,1293,AI-Optimized,False,0.0
CALL10213,C2179,A1047,2025-10-10 17:17:48.808652,993,AI-Optimized,False,0.0
CALL10214,C2348,A1001,2025-04-20 14:28:02.244870,864,AI-Optimized,False,0.0
CALL10215,C2891,A1014,2025-01-20 16:26:12.223738,360,AI-Optimized,False,0.0
CALL10216,C2974,A1037,2025-04-19 17:15:14.139556,769,Standard Routing,False,0.0
CALL10217,C2723,A1046,2025-01-09 01:28:12.350215,913,Standard Routing,False,0.0
CALL10218,C2676,A1041,2025-04-04 23:47:58.613025,76,AI-Optimized,False,0.0
CALL10219,C2835,A1011,2025-03-20 02:07:21.843184,655,Standard Routing,False,0.0
CALL10220,C2679,A1044,2025-03-01 22:04:30.686577,1264,AI-Optimized,True,114.42
CALL10221,C2091,A1021,2025-06-16 16:00:32.056832,85,Standard Routing,True,451.83
CALL10222,C2526,A1007,2025-01-05 07:30:49.567663,983,AI-Optimized,False,0.0
CALL10223,C2093,A1005,2025-01-14 14:44:09.911099,819,AI-Optimized,False,0.0
CALL10224,C2844,A1006,2025-03-25 07:25:36.662988,84,Standard Routing,False,0.0
CALL10225,C2242,A1005,2025-09-28 14:52:15.097787,934,AI-Optimized,False,0.0
CALL10226,C2799,A1028,2025-07-28 16:57:26.531239,1096,AI-Optimized,True,50.62
CALL10227,C2986,A1018,2025-03-07 08:30:26.215344,1754,AI-Optimized,False,0.0
CALL10228,C2367,A1016,2025-10-04 08:25:23.563763,651,Standard Routing,False,0.0
CALL10229,C2452,A1034,2025-09-25 05:12:14.028247,57,Standard Routing,False,0.0
CALL10230,C2688,A1029,2025-04-29 21:37:39.916049,491,AI-Optimized,False,0.0
CALL10231,C2360,A1039,2025-05-03 15:20:56.664925,56,AI-Optimized,False,0.0
CALL10232,C2907,A1035,2025-06-02 13:01:35.648587,830,AI-Optimized,False,0.0
CALL10233,C2575,A1025,2025-04-29 02:43:42.285555,437,AI-Optimized,False,0.0
CALL10234,C2304,A1029,2025-08-22 10:09:30.002753,1299,AI-Optimized,True,110.45
CALL10235,C2121,A1022,2025-06-06 16:26:24.602256,501,AI-Optimized,True,184.38
CALL10236,C2313,A1025,2025-09-15 16:15:57.996964,1709,AI-Optimized,False,0.0
CALL10237,C2048,A1032,2025-05-30 22:25:31.119620,719,AI-Optimized,False,0.0
CALL10238,C2918,A1014,2025-08-13 13:20:39.814008,58,AI-Optimized,False,0.0
CALL10239,C2945,A1006,2025-04-05 10:54:20.380666,557,AI-Optimized,False,0.0
CALL10240,C2813,A1007,2025-10-04 19:38:09.258388,859,AI-Optimized,False,0.0
CALL10241,C2943,A1006,2025-01-29 15:35:04.971193,1436,AI-Optimized,False,0.0
CALL10242,C2515,A1018,2025-04-08 03:56:43.208389,395,AI-Optimized,True,195.55
CALL10243,C2675,A1025,2025-07-12 14:44:34.996342,1336,AI-Optimized,False,0.0
CALL10244,C2325,A1002,2025-04-11 21:41:23.097715,232,Standard Routing,False,0.0
CALL10245,C2105,A1003,2025-03-03 05:23:02.517835,1063,Standard Routing,True,129.48
CALL10246,C2873,A1006,2025-08-14 09:11:41.925120,1452,Standard Routing,False,0.0
CALL10247,C2333,A1043,2025-04-25 21:49:40.489681,739,Standard Routing,False,0.0
CALL10248,C2970,A1032,2025-02-16 02:41:24.652684,1556,Standard Routing,False,0.0
CALL10249,C2999,A1026,2025-09-28 13:04:14.767201,1179,Standard Routing,False,0.0
CALL10250,C2809,A1028,2025-06-29 22:24:44.636890,1039,AI-Optimized,True,246.99
CALL10251,C2711,A1012,2025-09-04 19:09:09.396318,319,Standard Routing,False,0.0
CALL10252,C2818,A1044,2025-02-28 18:17:47.728437,744,Standard Routing,False,0.0
CALL10253,C2103,A1009,2025-01-24 17:06:15.089816,1495,AI-Optimized,False,0.0
CALL10254,C2366,A1018,2025-07-17 12:00:48.034703,437,Standard Routing,False,0.0
CALL10255,C2398,A1016,2025-01-23 04:52:09.619948,1154,Standard Routing,False,0.0
CALL10256,C2447,A1043,2025-01-17 07:13:17.008084,1292,Standard Routing,False,0.0
CALL10257,C2477,A1003,2025-06-03 15:05:31.412067,345,AI-Optimized,False,0.0
CALL10258,C2922,A1027,2025-07-01 11:02:47.539194,1424,AI-Optimized,False,0.0
CALL10259,C2464,A1008,2025-02-20 05:51:08.749737,864,Standard Routing,False,0.0
CALL10260,C2615,A1035,2025-03-04 09:03:39.120722,1109,Standard Routing,False,0.0
CALL10261,C2380,A1001,2025-07-05 23:54:38.317295,1674,Standard Routing,False,0.0
CALL10262,C2323,A1014,2025-06-15 15:33:22.966937,1540,Standard Routing,False,0.0
CALL10263,C2983,A1047,2025-04-01 17:25:38.245857,1423,Standard Routing,False,0.0
CALL10264,C2130,A1020,2025-08-06 19:31:34.991774,1015,AI-Optimized,False,0.0
CALL10265,C2577,A1036,2025-09-29 16:36:53.033834,1233,Standard Routing,True,156.67
CALL10266,C2382,A1022,2025-09-22 19:42:49.527342,950,AI-Optimized,False,0.0
CALL10267,C2347,A1035,2025-04-14 05:46:24.343117,1784,Standard Routing,False,0.0
CALL10268,C2027,A1014,2025-07-04 14:25:45.411084,724,AI-Optimized,False,0.0
CALL10269,C2800,A1032,2025-08-19 22:46:13.626469,914,Standard Routing,False,0.0
CALL10270,C2809,A1026,2025-06-11 21:46:33.587087,180,Standard Routing,False,0.0
CALL10271,C2338,A1043,2025-01-01 23:02:04.212558,66,AI-Optimized,False,0.0
CALL10272,C2473,A1011,2025-08-27 06:14:07.682213,1490,Standard Routing,False,0.0
CALL10273,C2425,A1046,2025-08-23 13:44:16.718208,164,Standard Routing,False,0.0
CALL10274,C2599,A1020,2025-02-01 16:30:09.838640,1140,AI-Optimized,False,0.0
CALL10275,C2064,A1015,2025-02-07 06:02:55.945318,1576,Standard Routing,False,0.0
CALL10276,C2312,A1032,2025-08-30 17:12:32.552915,1661,Standard Routing,True,324.85
CALL10277,C2483,A1023,2025-01-18 09:36:45.982177,1044,AI-Optimized,False,0.0
CALL10278,C2905,A1038,2025-08-26 16:23:01.386338,44,AI-Optimized,False,0.0
CALL10279,C2941,A1006,2025-06-06 20:19:56.714344,783,AI-Optimized,False,0.0
CALL10280,C2639,A1013,2025-04-30 08:27:13.628274,955,AI-Optimized,False,0.0
CALL10281,C2148,A1035,2025-05-25 14:05:13.103760,1155,Standard Routing,False,0.0
CALL10282,C2911,A1020,2025-02-23 13:07:18.478664,527,AI-Optimized,False,0.0
CALL10283,C2457,A1030,2025-05-15 08:09:28.545232,1436,AI-Optimized,False,0.0
CALL10284,C2679,A1004,2025-02-23 02:58:39.447485,989,Standard Routing,False,0.0
CALL10285,C2463,A1014,2025-09-21 03:51:36.449963,1382,Standard Routing,True,285.13
CALL10286,C2106,A1006,2025-04-03 15:04:04.934183,855,Standard Routing,False,0.0
CALL10287,C2015,A1002,2025-02-05 10:15:15.505043,156,Standard Routing,True,58.63
CALL10288,C2949,A1024,2025-02-28 23:08:30.794499,124,AI-Optimized,False,0.0
CALL10289,C2903,A1028,2025-04-16 00:16:14.059790,1468,AI-Optimized,True,338.09
CALL10290,C2909,A1014,2025-02-03 16:29:43.230395,89,AI-Optimized,False,0.0
CALL10291,C2634,A1047,2025-06-08 20:18:33.404920,1715,AI-Optimized,False,0.0
CALL10292,C2011,A1032,2025-01-03 19:42:49.565188,472,AI-Optimized,False,0.0
CALL10293,C2448,A1030,2025-05-18 19:23:46.029303,1759,AI-Optimized,False,0.0
CALL10294,C2834,A1005,2025-01-31 12:48:59.557904,584,AI-Optimized,False,0.0
CALL10295,C2292,A1006,2025-05-04 10:13:48.220718,1496,Standard Routing,False,0.0
CALL10296,C2231,A1029,2025-03-21 09:09:06.794144,366,Standard Routing,False,0.0
CALL10297,C2572,A1040,2025-07-20 09:57:54.988567,750,Standard Routing,False,0.0
CALL10298,C2252,A1036,2025-09-21 21:41:49.929838,448,Standard Routing,False,0.0
CALL10299,C2824,A1005,2025-10-08 13:41:16.010389,199,Standard Routing,False,0.0
CALL10300,C2460,A1045,2025-01-28 01:41:03.430821,1446,AI-Optimized,False,0.0
CALL10301,C2780,A1008,2025-07-21 19:36:17.057973,240,Standard Routing,False,0.0
